param_model__l2_regularization,param_model__learning_rate,param_model__max_depth,param_model__max_iter,param_model__min_samples_leaf,mean_test_mae,std_test_mae,rank_test_score
0.1,0.03,5,200,50,295.04297541172184,34.577707072991394,1
0.0,0.03,5,200,50,295.0664191247755,35.09801274528686,2
0.1,0.05,6,150,50,295.0793853828769,34.51353186995822,3
0.3,0.07,5,150,50,295.3074134983807,34.583629820691954,4
0.0,0.03,5,300,50,295.32402796000247,36.195022447038674,5
0.1,0.05,6,200,50,295.4216966486284,34.85623185219379,6
0.1,0.03,5,150,50,295.68647281704983,35.200228158080016,7
0.3,0.03,5,200,50,295.71090324204533,34.4467982298945,8
0.1,0.03,5,300,50,295.87782086112975,35.87926170902136,9
0.3,0.03,6,200,50,295.91695654119957,33.51203037552678,10
0.0,0.03,6,300,50,295.98096393302006,35.76000174033835,11
0.0,0.03,6,200,50,296.01769697113957,34.12954357822726,12
0.0,0.03,5,150,50,296.20890218236457,35.40373936111043,13
0.0,0.07,5,150,50,296.24175662231846,34.789416923445,14
0.0,0.05,5,200,50,296.2649358821915,33.93144184619834,15
0.3,0.03,6,300,50,296.2687165217658,35.70211978070566,16
0.0,0.05,7,200,50,296.2735481182576,36.472170012004256,17
0.0,0.05,6,150,50,296.29999295712025,35.340967186411056,18
0.3,0.03,5,150,50,296.3088844023234,34.848848948832554,19
0.3,0.03,7,300,50,296.36225184946943,36.13908785167734,20
0.0,0.05,6,200,50,296.4043925116756,34.94789431665254,21
0.1,0.03,6,300,50,296.428349395149,35.14705967321834,22
0.3,0.03,5,300,50,296.4786858167974,35.03527103060741,23
0.1,0.03,6,200,50,296.5833957634135,33.44159061753845,24
0.3,0.07,5,200,50,296.6264056222338,35.90818332613647,25
0.0,0.07,6,150,50,296.6486228423793,35.222860853761446,26
0.3,0.05,5,150,50,296.6807513196777,34.08206900646249,27
0.1,0.07,5,150,50,296.7838739870388,34.032901306125666,28
0.3,0.03,7,200,50,296.83114154459906,35.06426226160468,29
0.3,0.05,6,200,50,296.84095882323766,35.255022610361884,30
0.3,0.05,6,150,50,296.89990736541097,34.803476061268164,31
0.0,0.05,7,150,50,296.9406957994606,35.844086555940414,32
0.0,0.05,5,150,50,296.96151364767485,33.64146405690938,33
0.1,0.07,6,150,50,296.9815820187715,36.889768674963754,34
0.3,0.05,7,150,50,297.0212326320889,36.92412688633064,35
0.3,0.05,5,200,50,297.02169962496123,34.72139790182114,36
0.0,0.03,7,200,50,297.0819154921221,35.73266955443224,37
0.3,0.03,6,150,50,297.1357385687114,34.98748050566209,38
0.3,0.03,7,150,50,297.3720950836613,36.09131133426419,39
0.0,0.05,5,300,50,297.3996054406565,35.05035652273047,40
0.0,0.03,6,150,50,297.44594747250426,35.915290479969485,41
0.1,0.03,6,150,50,297.4486416170301,35.19235208683571,42
0.1,0.05,6,300,50,297.5060435839854,36.74906221631658,43
0.0,0.03,7,150,50,297.6130294209293,36.77332425187995,44
0.3,0.05,7,200,50,297.6471232644633,37.4019934253617,45
0.1,0.05,5,150,50,297.76874297337605,35.093885867864,46
0.1,0.07,7,150,50,297.7920017967688,36.92222530451342,47
0.1,0.03,7,150,50,297.80950328758655,36.5014378452505,48
0.1,0.05,5,200,50,297.8384470492259,34.946859222002836,49
0.1,0.03,7,200,50,297.93271829051565,35.57287999573099,50
0.3,0.07,7,150,50,297.9411505046507,35.52678098707247,51
0.3,0.07,6,150,50,297.9500887470214,36.89604220936104,52
0.1,0.07,6,200,50,297.9619398891019,38.86992912704148,53
0.1,0.03,7,300,50,297.97658711893087,36.74935364232126,54
0.0,0.03,7,300,50,297.9953276570613,36.478162348007665,55
0.1,0.05,7,200,50,298.053925861271,35.78631085160857,56
0.1,0.05,7,150,50,298.2370802378006,35.156493955539595,57
0.1,0.07,5,200,50,298.42900299042924,36.144533254324486,58
