date,year,month,ppi_value,series_id,industry,product,source,country_code,base_year
2012-06-01,2012,6,100.0,COCANZ334,Computer and electronic product manufacturing,Computer and electronic manufacturing,FRED,CAN,2012
2012-07-01,2012,7,100.0,COCANZ334,Computer and electronic product manufacturing,Computer and electronic manufacturing,FRED,CAN,2012
2012-08-01,2012,8,99.9,COCANZ334,Computer and electronic product manufacturing,Computer and electronic manufacturing,FRED,CAN,2012
2012-09-01,2012,9,99.9,COCANZ334,Computer and electronic product manufacturing,Computer and electronic manufacturing,FRED,CAN,2012
2012-10-01,2012,10,100.0,COCANZ334,Computer and electronic product manufacturing,Computer and electronic manufacturing,FRED,CAN,2012
2012-11-01,2012,11,99.4,COCANZ334,Computer and electronic product manufacturing,Computer and electronic manufacturing,FRED,CAN,2012
2012-12-01,2012,12,99.4,COCANZ334,Computer and electronic product manufacturing,Computer and electronic manufacturing,FRED,CAN,2012
2013-01-01,2013,1,99.4,COCANZ334,Computer and electronic product manufacturing,Computer and electronic manufacturing,FRED,CAN,2012
2013-02-01,2013,2,99.6,COCANZ334,Computer and electronic product manufacturing,Computer and electronic manufacturing,FRED,CAN,2012
2013-03-01,2013,3,99.6,COCANZ334,Computer and electronic product manufacturing,Computer and electronic manufacturing,FRED,CAN,2012
2013-04-01,2013,4,99.6,COCANZ334,Computer and electronic product manufacturing,Computer and electronic manufacturing,FRED,CAN,2012
2013-05-01,2013,5,99.7,COCANZ334,Computer and electronic product manufacturing,Computer and electronic manufacturing,FRED,CAN,2012
2013-06-01,2013,6,99.8,COCANZ334,Computer and electronic product manufacturing,Computer and electronic manufacturing,FRED,CAN,2012
2013-07-01,2013,7,99.8,COCANZ334,Computer and electronic product manufacturing,Computer and electronic manufacturing,FRED,CAN,2012
2013-08-01,2013,8,99.8,COCANZ334,Computer and electronic product manufacturing,Computer and electronic manufacturing,FRED,CAN,2012
2013-09-01,2013,9,99.8,COCANZ334,Computer and electronic product manufacturing,Computer and electronic manufacturing,FRED,CAN,2012
2013-10-01,2013,10,99.8,COCANZ334,Computer and electronic product manufacturing,Computer and electronic manufacturing,FRED,CAN,2012
2013-11-01,2013,11,99.8,COCANZ334,Computer and electronic product manufacturing,Computer and electronic manufacturing,FRED,CAN,2012
2013-12-01,2013,12,99.8,COCANZ334,Computer and electronic product manufacturing,Computer and electronic manufacturing,FRED,CAN,2012
