date,year,month,ppi_value,series_id,industry,product,source,country_code,base_year
2012-06-01,2012,6,100.0,COCHNZ3344,Semiconductor and other electronic component manufacturing,Semiconductor and other electronic components,FRED,CHN,2012
2012-07-01,2012,7,101.0,COCHNZ3344,Semiconductor and other electronic component manufacturing,Semiconductor and other electronic components,FRED,CHN,2012
2012-08-01,2012,8,101.5,COCHNZ3344,Semiconductor and other electronic component manufacturing,Semiconductor and other electronic components,FRED,CHN,2012
2012-09-01,2012,9,101.4,COCHNZ3344,Semiconductor and other electronic component manufacturing,Semiconductor and other electronic components,FRED,CHN,2012
2012-10-01,2012,10,101.2,COCHNZ3344,Semiconductor and other electronic component manufacturing,Semiconductor and other electronic components,FRED,CHN,2012
2012-11-01,2012,11,99.1,COCHNZ3344,Semiconductor and other electronic component manufacturing,Semiconductor and other electronic components,FRED,CHN,2012
2012-12-01,2012,12,98.4,COCHNZ3344,Semiconductor and other electronic component manufacturing,Semiconductor and other electronic components,FRED,CHN,2012
2013-01-01,2013,1,98.9,COCHNZ3344,Semiconductor and other electronic component manufacturing,Semiconductor and other electronic components,FRED,CHN,2012
2013-02-01,2013,2,99.3,COCHNZ3344,Semiconductor and other electronic component manufacturing,Semiconductor and other electronic components,FRED,CHN,2012
2013-03-01,2013,3,99.0,COCHNZ3344,Semiconductor and other electronic component manufacturing,Semiconductor and other electronic components,FRED,CHN,2012
2013-04-01,2013,4,98.3,COCHNZ3344,Semiconductor and other electronic component manufacturing,Semiconductor and other electronic components,FRED,CHN,2012
2013-05-01,2013,5,98.4,COCHNZ3344,Semiconductor and other electronic component manufacturing,Semiconductor and other electronic components,FRED,CHN,2012
2013-06-01,2013,6,98.3,COCHNZ3344,Semiconductor and other electronic component manufacturing,Semiconductor and other electronic components,FRED,CHN,2012
2013-07-01,2013,7,98.5,COCHNZ3344,Semiconductor and other electronic component manufacturing,Semiconductor and other electronic components,FRED,CHN,2012
2013-08-01,2013,8,98.4,COCHNZ3344,Semiconductor and other electronic component manufacturing,Semiconductor and other electronic components,FRED,CHN,2012
2013-09-01,2013,9,100.7,COCHNZ3344,Semiconductor and other electronic component manufacturing,Semiconductor and other electronic components,FRED,CHN,2012
2013-10-01,2013,10,100.9,COCHNZ3344,Semiconductor and other electronic component manufacturing,Semiconductor and other electronic components,FRED,CHN,2012
2013-11-01,2013,11,102.2,COCHNZ3344,Semiconductor and other electronic component manufacturing,Semiconductor and other electronic components,FRED,CHN,2012
2013-12-01,2013,12,102.0,COCHNZ3344,Semiconductor and other electronic component manufacturing,Semiconductor and other electronic components,FRED,CHN,2012
2014-01-01,2014,1,101.2,COCHNZ3344,Semiconductor and other electronic component manufacturing,Semiconductor and other electronic components,FRED,CHN,2012
2014-02-01,2014,2,100.9,COCHNZ3344,Semiconductor and other electronic component manufacturing,Semiconductor and other electronic components,FRED,CHN,2012
2014-03-01,2014,3,100.9,COCHNZ3344,Semiconductor and other electronic component manufacturing,Semiconductor and other electronic components,FRED,CHN,2012
2014-04-01,2014,4,103.4,COCHNZ3344,Semiconductor and other electronic component manufacturing,Semiconductor and other electronic components,FRED,CHN,2012
2014-05-01,2014,5,103.0,COCHNZ3344,Semiconductor and other electronic component manufacturing,Semiconductor and other electronic components,FRED,CHN,2012
2014-06-01,2014,6,103.0,COCHNZ3344,Semiconductor and other electronic component manufacturing,Semiconductor and other electronic components,FRED,CHN,2012
2014-07-01,2014,7,103.0,COCHNZ3344,Semiconductor and other electronic component manufacturing,Semiconductor and other electronic components,FRED,CHN,2012
2014-08-01,2014,8,99.1,COCHNZ3344,Semiconductor and other electronic component manufacturing,Semiconductor and other electronic components,FRED,CHN,2012
2014-09-01,2014,9,99.0,COCHNZ3344,Semiconductor and other electronic component manufacturing,Semiconductor and other electronic components,FRED,CHN,2012
2014-10-01,2014,10,98.8,COCHNZ3344,Semiconductor and other electronic component manufacturing,Semiconductor and other electronic components,FRED,CHN,2012
2014-11-01,2014,11,98.6,COCHNZ3344,Semiconductor and other electronic component manufacturing,Semiconductor and other electronic components,FRED,CHN,2012
2014-12-01,2014,12,98.6,COCHNZ3344,Semiconductor and other electronic component manufacturing,Semiconductor and other electronic components,FRED,CHN,2012
2015-01-01,2015,1,98.9,COCHNZ3344,Semiconductor and other electronic component manufacturing,Semiconductor and other electronic components,FRED,CHN,2012
2015-02-01,2015,2,98.6,COCHNZ3344,Semiconductor and other electronic component manufacturing,Semiconductor and other electronic components,FRED,CHN,2012
2015-03-01,2015,3,97.4,COCHNZ3344,Semiconductor and other electronic component manufacturing,Semiconductor and other electronic components,FRED,CHN,2012
2015-04-01,2015,4,97.4,COCHNZ3344,Semiconductor and other electronic component manufacturing,Semiconductor and other electronic components,FRED,CHN,2012
2015-05-01,2015,5,97.7,COCHNZ3344,Semiconductor and other electronic component manufacturing,Semiconductor and other electronic components,FRED,CHN,2012
2015-06-01,2015,6,97.0,COCHNZ3344,Semiconductor and other electronic component manufacturing,Semiconductor and other electronic components,FRED,CHN,2012
2015-07-01,2015,7,97.0,COCHNZ3344,Semiconductor and other electronic component manufacturing,Semiconductor and other electronic components,FRED,CHN,2012
2015-08-01,2015,8,95.9,COCHNZ3344,Semiconductor and other electronic component manufacturing,Semiconductor and other electronic components,FRED,CHN,2012
2015-09-01,2015,9,95.5,COCHNZ3344,Semiconductor and other electronic component manufacturing,Semiconductor and other electronic components,FRED,CHN,2012
2015-10-01,2015,10,95.1,COCHNZ3344,Semiconductor and other electronic component manufacturing,Semiconductor and other electronic components,FRED,CHN,2012
2015-11-01,2015,11,94.5,COCHNZ3344,Semiconductor and other electronic component manufacturing,Semiconductor and other electronic components,FRED,CHN,2012
2015-12-01,2015,12,94.2,COCHNZ3344,Semiconductor and other electronic component manufacturing,Semiconductor and other electronic components,FRED,CHN,2012
2016-01-01,2016,1,93.9,COCHNZ3344,Semiconductor and other electronic component manufacturing,Semiconductor and other electronic components,FRED,CHN,2012
2016-02-01,2016,2,93.1,COCHNZ3344,Semiconductor and other electronic component manufacturing,Semiconductor and other electronic components,FRED,CHN,2012
2016-03-01,2016,3,91.5,COCHNZ3344,Semiconductor and other electronic component manufacturing,Semiconductor and other electronic components,FRED,CHN,2012
2016-04-01,2016,4,90.2,COCHNZ3344,Semiconductor and other electronic component manufacturing,Semiconductor and other electronic components,FRED,CHN,2012
2016-05-01,2016,5,90.0,COCHNZ3344,Semiconductor and other electronic component manufacturing,Semiconductor and other electronic components,FRED,CHN,2012
2016-06-01,2016,6,88.9,COCHNZ3344,Semiconductor and other electronic component manufacturing,Semiconductor and other electronic components,FRED,CHN,2012
2016-07-01,2016,7,88.6,COCHNZ3344,Semiconductor and other electronic component manufacturing,Semiconductor and other electronic components,FRED,CHN,2012
2016-08-01,2016,8,88.6,COCHNZ3344,Semiconductor and other electronic component manufacturing,Semiconductor and other electronic components,FRED,CHN,2012
2016-09-01,2016,9,88.8,COCHNZ3344,Semiconductor and other electronic component manufacturing,Semiconductor and other electronic components,FRED,CHN,2012
2016-10-01,2016,10,88.3,COCHNZ3344,Semiconductor and other electronic component manufacturing,Semiconductor and other electronic components,FRED,CHN,2012
2016-11-01,2016,11,89.1,COCHNZ3344,Semiconductor and other electronic component manufacturing,Semiconductor and other electronic components,FRED,CHN,2012
2016-12-01,2016,12,89.1,COCHNZ3344,Semiconductor and other electronic component manufacturing,Semiconductor and other electronic components,FRED,CHN,2012
2017-01-01,2017,1,87.7,COCHNZ3344,Semiconductor and other electronic component manufacturing,Semiconductor and other electronic components,FRED,CHN,2012
2017-02-01,2017,2,87.7,COCHNZ3344,Semiconductor and other electronic component manufacturing,Semiconductor and other electronic components,FRED,CHN,2012
2017-03-01,2017,3,87.8,COCHNZ3344,Semiconductor and other electronic component manufacturing,Semiconductor and other electronic components,FRED,CHN,2012
2017-04-01,2017,4,88.0,COCHNZ3344,Semiconductor and other electronic component manufacturing,Semiconductor and other electronic components,FRED,CHN,2012
2017-05-01,2017,5,88.5,COCHNZ3344,Semiconductor and other electronic component manufacturing,Semiconductor and other electronic components,FRED,CHN,2012
2017-06-01,2017,6,87.6,COCHNZ3344,Semiconductor and other electronic component manufacturing,Semiconductor and other electronic components,FRED,CHN,2012
2017-07-01,2017,7,87.6,COCHNZ3344,Semiconductor and other electronic component manufacturing,Semiconductor and other electronic components,FRED,CHN,2012
2017-08-01,2017,8,87.6,COCHNZ3344,Semiconductor and other electronic component manufacturing,Semiconductor and other electronic components,FRED,CHN,2012
2017-09-01,2017,9,87.7,COCHNZ3344,Semiconductor and other electronic component manufacturing,Semiconductor and other electronic components,FRED,CHN,2012
2017-10-01,2017,10,88.6,COCHNZ3344,Semiconductor and other electronic component manufacturing,Semiconductor and other electronic components,FRED,CHN,2012
2017-11-01,2017,11,88.7,COCHNZ3344,Semiconductor and other electronic component manufacturing,Semiconductor and other electronic components,FRED,CHN,2012
2017-12-01,2017,12,88.8,COCHNZ3344,Semiconductor and other electronic component manufacturing,Semiconductor and other electronic components,FRED,CHN,2012
2018-01-01,2018,1,89.2,COCHNZ3344,Semiconductor and other electronic component manufacturing,Semiconductor and other electronic components,FRED,CHN,2012
2018-02-01,2018,2,89.3,COCHNZ3344,Semiconductor and other electronic component manufacturing,Semiconductor and other electronic components,FRED,CHN,2012
2018-03-01,2018,3,89.3,COCHNZ3344,Semiconductor and other electronic component manufacturing,Semiconductor and other electronic components,FRED,CHN,2012
2018-04-01,2018,4,89.3,COCHNZ3344,Semiconductor and other electronic component manufacturing,Semiconductor and other electronic components,FRED,CHN,2012
2018-05-01,2018,5,89.1,COCHNZ3344,Semiconductor and other electronic component manufacturing,Semiconductor and other electronic components,FRED,CHN,2012
2018-06-01,2018,6,89.0,COCHNZ3344,Semiconductor and other electronic component manufacturing,Semiconductor and other electronic components,FRED,CHN,2012
2018-07-01,2018,7,89.0,COCHNZ3344,Semiconductor and other electronic component manufacturing,Semiconductor and other electronic components,FRED,CHN,2012
2018-08-01,2018,8,89.0,COCHNZ3344,Semiconductor and other electronic component manufacturing,Semiconductor and other electronic components,FRED,CHN,2012
2018-09-01,2018,9,89.0,COCHNZ3344,Semiconductor and other electronic component manufacturing,Semiconductor and other electronic components,FRED,CHN,2012
2018-10-01,2018,10,89.1,COCHNZ3344,Semiconductor and other electronic component manufacturing,Semiconductor and other electronic components,FRED,CHN,2012
2018-11-01,2018,11,89.4,COCHNZ3344,Semiconductor and other electronic component manufacturing,Semiconductor and other electronic components,FRED,CHN,2012
2018-12-01,2018,12,89.4,COCHNZ3344,Semiconductor and other electronic component manufacturing,Semiconductor and other electronic components,FRED,CHN,2012
